Open,High,Low,Close,short_ma,long_ma,rsi,macd,macd_hist,macd_signal,Close_pct_change
46.6,46.83,45.93,46.0,47.55,53.1,37.56,-0.41,-0.33,-0.09,-0.0
46.0,46.17,45.3,45.8,47.53,53.01,36.49,-0.5,-0.33,-0.17,-1.0
45.2,46.81,45.0,45.45,47.52,52.91,34.62,-0.59,-0.34,-0.25,2.0
45.85,47.18,45.81,46.41,47.53,52.83,43.18,-0.58,-0.26,-0.32,0.0
46.42,47.25,46.15,46.5,47.51,52.74,43.93,-0.55,-0.19,-0.36,0.0
46.5,47.12,45.59,46.5,47.48,52.66,43.93,-0.53,-0.13,-0.4,3.0
46.69,48.15,46.56,48.09,47.49,52.61,55.75,-0.38,0.02,-0.39,1.0
48.17,48.8,47.88,48.42,47.51,52.54,57.74,-0.23,0.13,-0.36,-1.0
48.8,48.99,47.6,47.9,47.51,52.47,53.65,-0.15,0.17,-0.32,2.0
47.9,48.95,47.85,48.73,47.53,52.41,58.69,-0.02,0.24,-0.26,1.0
48.95,49.25,48.5,49.07,47.58,52.34,60.58,0.11,0.29,-0.18,1.0
49.08,49.89,48.87,49.65,47.66,52.27,63.64,0.25,0.35,-0.1,-1.0
49.88,49.94,49.01,49.16,47.74,52.2,59.44,0.33,0.34,-0.01,-1.0
49.16,49.25,48.6,48.63,47.81,52.13,55.2,0.34,0.28,0.06,-1.0
48.85,48.99,47.44,48.21,47.88,52.05,52.04,0.31,0.2,0.11,1.0
47.83,49.03,47.83,48.46,47.96,51.97,53.74,0.3,0.16,0.15,-1.0
49.1,49.24,47.95,48.12,48.03,51.88,51.08,0.27,0.1,0.17,-1.0
48.26,48.62,47.72,47.85,48.1,51.79,49.01,0.21,0.03,0.18,-1.0
47.85,47.93,47.26,47.52,48.17,51.7,46.53,0.14,-0.03,0.17,0.0
47.73,48.22,47.57,47.57,48.21,51.61,46.97,0.09,-0.06,0.16,2.0
47.8,48.58,47.47,48.45,48.27,51.52,54.1,0.12,-0.03,0.15,1.0
48.37,48.81,47.9,48.81,48.28,51.43,56.66,0.17,0.02,0.15,-1.0
48.27,48.64,48.17,48.4,48.27,51.36,53.03,0.17,0.02,0.16,-1.0
48.7,48.95,47.57,48.08,48.25,51.27,50.31,0.15,-0.01,0.16,-0.0
47.9,48.19,46.85,48.03,48.23,51.19,49.88,0.12,-0.02,0.15,-0.0
47.92,48.34,47.6,47.89,48.17,51.1,48.63,0.09,-0.05,0.14,2.0
47.8,48.65,47.51,48.65,48.14,51.02,55.21,0.13,-0.01,0.14,2.0
49.02,49.5,48.74,49.38,48.13,50.94,60.44,0.21,0.06,0.15,-1.0
49.98,49.99,48.51,48.65,48.12,50.86,53.68,0.22,0.05,0.16,1.0
48.55,49.61,48.5,49.3,48.1,50.78,58.17,0.27,0.08,0.19,2.0
49.28,50.35,49.28,50.09,48.12,50.7,62.87,0.37,0.15,0.22,0.0
50.2,50.81,49.78,50.22,48.12,50.63,63.6,0.46,0.19,0.27,4.0
50.75,52.08,50.6,52.05,48.18,50.56,71.92,0.67,0.32,0.35,0.0
